Disease,Description
Phản ứng thuốc,Phản ứng có hại của thuốc (ADR) là một tổn thương do dùng thuốc. ADR có thể xảy ra sau khi dùng một liều duy nhất hoặc dùng thuốc kéo dài hoặc do kết hợp hai hoặc nhiều loại thuốc.
Sốt rét,"Một bệnh truyền nhiễm do ký sinh trùng đơn bào thuộc họ Plasmodium gây ra, có thể lây truyền qua vết đốt của muỗi Anopheles hoặc do kim tiêm hoặc truyền máu bị ô nhiễm. Sốt rét Falciparum là loại nguy hiểm nhất."
Dị ứng,"Dị ứng là phản ứng của hệ thống miễn dịch đối với một chất lạ thường không gây hại cho cơ thể bạn. Chúng có thể bao gồm một số loại thực phẩm, phấn hoa hoặc lông thú cưng. Công việc của hệ thống miễn dịch là giữ cho bạn khỏe mạnh bằng cách chống lại các mầm bệnh có hại."
Suy giáp,"Suy giáp, còn gọi là tuyến giáp hoạt động kém hoặc tuyến giáp thấp, là một rối loạn của hệ thống nội tiết trong đó tuyến giáp không sản xuất đủ hormone tuyến giáp."
Bệnh vẩy nến,"Bệnh vẩy nến là một chứng rối loạn da phổ biến tạo thành các mảng dày, đỏ, gập ghềnh được bao phủ bởi vảy bạc. Chúng có thể nổi lên ở bất cứ đâu nhưng hầu hết xuất hiện ở da đầu, khuỷu tay, đầu gối và lưng dưới. Bệnh vẩy nến không thể truyền từ người này sang người khác. Nó đôi khi xảy ra ở các thành viên trong cùng một gia đình."
bệnh trào ngược dạ dày thực quản,"Bệnh trào ngược dạ dày thực quản, hay GERD, là một rối loạn tiêu hóa ảnh hưởng đến cơ vòng thực quản dưới (LES), vòng cơ giữa thực quản và dạ dày. Nhiều người, kể cả phụ nữ mang thai, bị ợ chua hoặc khó tiêu do trào ngược dạ dày thực quản."
Ứ mật mãn tính,"Bệnh ứ mật mãn tính, dù xảy ra ở trẻ sơ sinh, trẻ nhỏ hay trưởng thành, được đặc trưng bởi sự vận chuyển axit mật từ gan đến ruột bị suy giảm, nguyên nhân là do tổn thương nguyên phát ở biểu mô đường mật trong hầu hết các trường hợp."
viêm gan A,Viêm gan A là một bệnh nhiễm trùng gan rất dễ lây lan do virus viêm gan A gây ra. Virus này là một trong một số loại virus viêm gan gây viêm và ảnh hưởng đến khả năng hoạt động của gan.
Viêm xương khớp,"Viêm xương khớp là dạng viêm khớp phổ biến nhất, ảnh hưởng đến hàng triệu người trên toàn thế giới. Nó xảy ra khi sụn bảo vệ đệm các đầu xương của bạn bị mòn theo thời gian."
(Chóng mặt) Chóng mặt tư thế kịch phát,Chứng chóng mặt tư thế kịch phát lành tính (BPPV) là một trong những nguyên nhân phổ biến nhất gây chóng mặt - cảm giác đột ngột như bạn đang quay hoặc bên trong đầu bạn đang quay. Chứng chóng mặt tư thế kịch phát lành tính gây ra những cơn chóng mặt nhẹ đến dữ dội trong thời gian ngắn.
Hạ đường huyết,Hạ đường huyết là tình trạng lượng đường trong máu (glucose) của bạn thấp hơn bình thường. Glucose là nguồn năng lượng chính của cơ thể bạn. Hạ đường huyết thường liên quan đến điều trị bệnh tiểu đường. Nhưng các loại thuốc khác và nhiều tình trạng khác - nhiều trường hợp hiếm gặp - có thể gây ra lượng đường trong máu thấp ở những người không mắc bệnh tiểu đường.
Mụn trứng cá,"Mụn trứng cá thông thường là sự hình thành các mụn trứng cá, mụn sẩn, mụn mủ, nốt sần và/hoặc u nang do tắc nghẽn và viêm các đơn vị tuyến bã nhờn (nang lông và tuyến bã đi kèm). Mụn phát triển ở mặt và thân trên. Nó thường ảnh hưởng đến thanh thiếu niên."
Bệnh tiểu đường,"Bệnh tiểu đường là một căn bệnh xảy ra khi lượng đường trong máu của bạn, còn gọi là lượng đường trong máu, quá cao. Đường huyết là nguồn năng lượng chính của bạn và đến từ thực phẩm bạn ăn. Insulin, một loại hormone do tuyến tụy tạo ra, giúp glucose từ thức ăn đi vào tế bào của bạn để sử dụng làm năng lượng."
bệnh chốc lở,"Bệnh chốc lở (im-puh-TIE-go) là một bệnh nhiễm trùng da phổ biến và rất dễ lây lan, chủ yếu ảnh hưởng đến trẻ sơ sinh và trẻ nhỏ. Bệnh chốc lở thường xuất hiện dưới dạng vết loét đỏ trên mặt, đặc biệt là quanh mũi, miệng và ở tay và chân của trẻ. Các vết loét vỡ ra và phát triển lớp vỏ màu mật ong."
tăng huyết áp,"Tăng huyết áp (HTN hoặc HT), còn được gọi là huyết áp cao (HBP), là một tình trạng bệnh lý lâu dài trong đó huyết áp trong động mạch tăng cao liên tục. Huyết áp cao thường không gây ra triệu chứng."
Bệnh loét dạ dày tá tràng,"Bệnh loét dạ dày tá tràng (PUD) là tình trạng tổn thương lớp niêm mạc bên trong dạ dày, phần đầu của ruột non hoặc đôi khi là phần dưới thực quản. Vết loét ở dạ dày được gọi là loét dạ dày, còn vết loét ở phần đầu của ruột được gọi là loét tá tràng."
Bệnh trĩ lưỡng hình (cọc),"Bệnh trĩ, hay còn gọi là bệnh trĩ, là những cấu trúc mạch máu trong ống hậu môn. Trong họ ... Tên gọi khác là Bệnh trĩ, trĩ, bệnh trĩ."
Cảm lạnh thông thường,"Cảm lạnh thông thường là tình trạng nhiễm virus ở mũi và cổ họng (đường hô hấp trên). Nó thường vô hại, mặc dù bạn có thể không cảm thấy như vậy. Nhiều loại virus có thể gây cảm lạnh thông thường."
Thủy đậu,"Thủy đậu là một bệnh truyền nhiễm cấp tính do virus varicella-zoster (VZV) gây ra. Nó có thể gây phát ban ngứa, giống như mụn nước. Phát ban đầu tiên xuất hiện ở ngực, lưng và mặt, sau đó lan ra toàn bộ cơ thể, gây ra khoảng 250 đến 500 mụn nước ngứa."
