Symptom,weight
Ngứa,1
Phát ban da,3
Nổi nốt/hạch trên da,4
Hắt hơi liên tục,4
Run rẩy,5
Ớn lạnh,3
Đau khớp,3
Đau dạ dày,5
Dư axit/ợ chua,3
Loét lưỡi,4
Teo cơ,3
Nôn mửa,5
Tiểu buốt,6
Tiểu rắt,6
Mệt mỏi,4
Tăng cân,3
Lo âu,4
Tay chân lạnh,5
Thay đổi tâm trạng,3
Sụt cân,3
Bồn chồn,5
Uể oải,2
Mảng trắng trong họng,6
Đường huyết không ổn định,5
Ho,4
Sốt cao,7
Mắt trũng,3
Khó thở,4
Đổ mồ hôi,3
Mất nước,4
Chứng khó tiêu,5
Đau đầu,3
Da vàng,3
Nước tiểu sẫm màu,4
Buồn nôn,5
Chán ăn,4
Đau sau hốc mắt,4
Đau lưng,3
Táo bón,4
Đau bụng,4
Tiêu chảy,6
Sốt nhẹ,5
Nước tiểu màu vàng,4
Vàng mắt,4
Suy gan cấp tính,6
Tích dịch,6
Bụng sưng/trướng,7
Sưng hạch,6
Mệt mỏi toàn thân/khó chịu,6
Nhìn mờ và méo,5
Đờm,5
Kích ứng họng,4
Mắt đỏ,5
Đau/áp lực xoang,4
Chảy nước mũi,5
Nghẹt mũi,5
Đau ngực,7
Yếu tay chân,7
Nhịp tim nhanh,5
Đau khi đi ngoài,5
Đau vùng hậu môn,6
Đi ngoài ra máu,5
Kích ứng hậu môn,6
Đau cổ,5
Chóng mặt,4
Chuột rút,4
Bầm tím,4
Béo phì,4
Sưng chân,5
Giãn mạch máu,5
Mặt và mắt sưng,5
Tuyến giáp phì đại,6
Móng giòn dễ gãy,5
Tay chân sưng,5
Đói quá mức,4
Quan hệ ngoài luồng (yếu tố nguy cơ),5
Môi khô và tê,4
Nói khó/nói líu,4
Đau đầu gối,3
Đau khớp hông,2
Yếu cơ,2
Cứng cổ,4
Sưng khớp,5
Cứng khi vận động,5
Cảm giác xoay tròn,6
Mất thăng bằng,4
Loạng choạng,4
Yếu một bên cơ thể,4
Mất khứu giác,3
Khó chịu bàng quang,4
Nước tiểu hôi,5
Muốn đi tiểu liên tục,6
Xì hơi nhiều,5
Ngứa bên trong,4
Vẻ mặt nhiễm độc / mệt lả,5
Trầm cảm,3
Dễ cáu kỉnh,2
Đau cơ,2
Rối loạn tri giác,2
Đốm đỏ trên cơ thể,3
Đau bụng dưới,4
Kinh nguyệt bất thường,6
Mảng da đổi màu,6
Chảy nước mắt,4
Thèm ăn nhiều,5
Đi tiểu nhiều,4
Tiền sử gia đình,5
Đờm nhầy,4
Đờm màu rỉ sắt,4
Thiếu tập trung,3
Rối loạn thị giác,3
Đã truyền máu,5
Tiêm bằng dụng cụ không vô trùng,2
Hôn mê,7
Xuất huyết dạ dày,6
Chướng bụng,4
Tiền sử uống rượu,5
Ho ra máu,5
Gân nổi rõ ở bắp chân,6
Hồi hộp/tim đập mạnh,4
Đau khi đi lại,2
Mụn mủ,2
Mụn đầu đen,2
Da đóng vảy,2
Da bong tróc,3
Vảy trắng bạc,2
Móng lõm nhỏ,2
Móng bị viêm,2
Phồng rộp,4
Vết đỏ quanh mũi,2
Chảy mủ/đóng vảy vàng,3

