Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Phản ứng thuốc,ngừng kích ứng,tư vấn bệnh viện gần nhất,ngừng dùng thuốc,theo dõi
Sốt rét,Tư vấn bệnh viện gần nhất,tránh thức ăn nhiều dầu mỡ,tránh thực phẩm không thuần chay,đuổi muỗi ra ngoài
Dị ứng,bôi calamine,che khu vực bằng băng,nan,dùng đá để chườm ngứa
Suy giáp,giảm căng thẳng,bài tập,ăn uống lành mạnh,ngủ đúng giấc
Bệnh vẩy nến,rửa tay bằng nước xà phòng ấm,cầm máu bằng áp lực,tham khảo ý kiến ​​bác sĩ,tắm muối
bệnh trào ngược dạ dày thực quản,tránh đồ ăn cay nhiều dầu mỡ,tránh nằm xuống sau khi ăn,duy trì cân nặng khỏe mạnh,bài tập
Ứ mật mãn tính,tắm nước lạnh,thuốc chống ngứa,tham khảo ý kiến ​​bác sĩ,ăn uống lành mạnh
viêm gan A,Tư vấn bệnh viện gần nhất,rửa tay qua,tránh đồ ăn cay nhiều dầu mỡ,thuốc
Viêm xương khớp,acetaminophen,tư vấn bệnh viện gần nhất,theo dõi,tắm muối
(Chóng mặt) Chóng mặt tư thế kịch phát,nằm xuống,tránh sự thay đổi đột ngột của cơ thể,tránh chuyển động đầu đột ngột,thư giãn
Hạ đường huyết,nằm nghiêng sang một bên,kiểm tra nhịp tim,uống đồ uống có đường,tham khảo ý kiến ​​bác sĩ
Mụn trứng cá,tắm hai lần,tránh đồ ăn cay nhiều dầu mỡ,uống nhiều nước,tránh quá nhiều sản phẩm
Bệnh tiểu đường,có chế độ ăn uống cân bằng,bài tập,tham khảo ý kiến ​​bác sĩ,theo dõi
bệnh chốc lở,ngâm vùng bị ảnh hưởng trong nước ấm,sử dụng kháng sinh,loại bỏ vảy bằng vải nén ướt,tham khảo ý kiến ​​bác sĩ
tăng huyết áp,thiền định,tắm muối,giảm căng thẳng,ngủ đúng giấc
Bệnh loét dạ dày tá tràng,tránh đồ ăn cay nhiều dầu mỡ,tiêu thụ thực phẩm sinh học,loại bỏ sữa,hạn chế rượu
Bệnh trĩ lưỡng hình (cọc),tránh đồ ăn cay nhiều dầu mỡ,tiêu thụ cây phỉ,tắm nước ấm với muối epsom,uống nước ép nha đam
Cảm lạnh thông thường,uống đồ uống giàu vitamin c,lấy hơi,tránh ăn đồ lạnh,kiểm soát cơn sốt
Thủy đậu,sử dụng neem khi tắm,tiêu thụ lá neem,uống vắc xin,tránh nơi công cộng
Thoái hóa đốt sống cổ,sử dụng đệm sưởi hoặc túi lạnh,bài tập,uống thuốc giảm đau otc,tham khảo ý kiến ​​bác sĩ
Bệnh cường giáp,ăn uống lành mạnh,mát xa,sử dụng dầu chanh,điều trị bằng iốt phóng xạ
Nhiễm trùng đường tiết niệu,uống nhiều nước,tăng cường bổ sung vitamin c,uống nước ép nam việt quất,uống men vi sinh
Giãn tĩnh mạch,nằm ngửa và giơ cao chân lên,sử dụng thuốc mỡ,sử dụng phương pháp nén tĩnh mạch,đừng đứng yên lâu
AIDS,tránh những vết cắt hở,mặc đồ bảo hộ nếu có thể,tham khảo ý kiến ​​bác sĩ,theo dõi
Liệt (xuất huyết não),mát xa,ăn uống lành mạnh,bài tập,tham khảo ý kiến ​​bác sĩ
bệnh thương hàn,ăn rau nhiều calo,liệu pháp kháng sinh,tham khảo ý kiến ​​bác sĩ,thuốc
Viêm gan B,tư vấn bệnh viện gần nhất,tiêm chủng,ăn uống lành mạnh,thuốc
Nhiễm trùng nấm,tắm hai lần,sử dụng detol hoặc neem trong nước tắm,giữ cho khu vực bị nhiễm bệnh khô ráo,sử dụng vải sạch
Viêm gan C,Tư vấn bệnh viện gần nhất,tiêm chủng,ăn uống lành mạnh,thuốc
chứng đau nửa đầu,thiền định,giảm căng thẳng,sử dụng kính poloroid khi đi nắng,tham khảo ý kiến ​​bác sĩ
Hen phế quản,chuyển sang mặc quần áo rộng rãi,hít thở sâu,tránh xa cò súng,tìm kiếm sự giúp đỡ
Viêm gan do rượu,ngừng uống rượu,tham khảo ý kiến ​​bác sĩ,thuốc,theo dõi
vàng da,uống nhiều nước,tiêu thụ cây kế sữa,ăn trái cây và thực phẩm nhiều chất xơ,thuốc
Viêm gan E,ngừng uống rượu,nghỉ ngơi,tham khảo ý kiến ​​bác sĩ,thuốc
Sốt xuất huyết,uống nước lá đu đủ,tránh đồ ăn cay nhiều dầu mỡ,đuổi muỗi đi,giữ nước
Viêm gan D,tham khảo ý kiến ​​bác sĩ,thuốc,ăn uống lành mạnh,theo dõi
Đau tim,gọi xe cứu thương,nhai hoặc nuốt asprin,giữ bình tĩnh,nan
Viêm phổi,tham khảo ý kiến ​​bác sĩ,thuốc,nghỉ ngơi,theo dõi
Viêm khớp,bài tập,sử dụng liệu pháp nóng và lạnh,thử châm cứu,mát xa
Viêm dạ dày ruột,ngừng ăn thức ăn đặc trong một thời gian,hãy thử uống từng ngụm nước nhỏ,nghỉ ngơi,dễ dàng ăn uống trở lại
bệnh lao,che miệng,tham khảo ý kiến ​​bác sĩ,thuốc,nghỉ ngơi
