Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Nhiễm nấm,Ngứa,Phát ban da,Nổi mụn cục trên da,Vùng da mất sắc tố,,,,,,,,,,,,,
Nhiễm nấm,Phát ban da,Nổi mụn cục trên da,Vùng da mất sắc tố,,,,,,,,,,,,,,
Nhiễm nấm,Ngứa,Nổi mụn cục trên da,Vùng da mất sắc tố,,,,,,,,,,,,,,
Nhiễm nấm,Ngứa,Phát ban da,Vùng da mất sắc tố,,,,,,,,,,,,,,
Nhiễm nấm,Ngứa,Phát ban da,Nổi mụn cục trên da,,,,,,,,,,,,,,
Nhiễm nấm,Phát ban da,Nổi mụn cục trên da,Vùng da mất sắc tố,,,,,,,,,,,,,,
Nhiễm nấm,Ngứa,Nổi mụn cục trên da,Vùng da mất sắc tố,,,,,,,,,,,,,,
Nhiễm nấm,Ngứa,Phát ban da,Vùng da mất sắc tố,,,,,,,,,,,,,,
Nhiễm nấm,Ngứa,Phát ban da,Nổi mụn cục trên da,,,,,,,,,,,,,,
Nhiễm nấm,Ngứa,Phát ban da,Nổi mụn cục trên da,Vùng da mất sắc tố,,,,,,,,,,,,,
Dị ứng,Hắt hơi liên tục,Run,Ớn lạnh,Chảy nước mắt,,,,,,,,,,,,,
Dị ứng,Run,Ớn lạnh,Chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,Hắt hơi liên tục,Ớn lạnh,Chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,Hắt hơi liên tục,Run,Chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,Hắt hơi liên tục,Run,Ớn lạnh,,,,,,,,,,,,,,
Dị ứng,Run,Ớn lạnh,Chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,Hắt hơi liên tục,Ớn lạnh,Chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,Hắt hơi liên tục,Run,Chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,Hắt hơi liên tục,Run,Ớn lạnh,,,,,,,,,,,,,,
Dị ứng,Hắt hơi liên tục,Run,Ớn lạnh,Chảy nước mắt,,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Trào ngược axit,Loét lưỡi,Nôn,Ho,Đau ngực,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Loét lưỡi,Nôn,Ho,Đau ngực,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Trào ngược axit,Nôn,Ho,Đau ngực,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Trào ngược axit,Loét lưỡi,Ho,Đau ngực,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Trào ngược axit,Loét lưỡi,Nôn,Đau ngực,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Trào ngược axit,Loét lưỡi,Nôn,Ho,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Trào ngược axit,Loét lưỡi,Nôn,Ho,Đau ngực,,,,,,,,,,,,
